FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
-1,-8,15,24,-8,12,32,15,-23,0,-2,9,-18,-14,0,21,7,-22,-50,-125,2
0,-7,17,24,-7,13,32,16,-19,4,0,10,-14,-14,1,21,12,-18,-54,-115,0
-3,-13,12,18,-8,6,23,11,-15,8,0,9,-12,-14,1,18,12,-14,-61,-110,-4
-7,-21,3,10,-10,-2,13,3,-14,8,-1,7,-13,-13,0,13,8,-12,-68,-106,-6
-5,-24,-1,7,-10,-7,7,-4,-13,4,-1,6,-13,-10,0,10,4,-12,-70,-100,-9
0,-23,-3,9,-8,-8,7,-7,-11,1,0,7,-13,-5,2,10,2,-13,-71,-92,-10
8,-18,0,13,-5,-6,10,-7,-8,-1,1,10,-11,1,7,13,5,-13,-71,-84,-12
19,-9,6,20,0,0,17,-1,-2,-1,5,14,-7,7,12,17,13,-12,-70,-75,-13
31,0,14,27,5,8,25,6,3,1,10,20,-2,14,18,23,24,-8,-68,-68,-14
40,5,20,30,9,13,29,12,10,5,14,23,3,18,23,28,34,-2,-66,-64,-14
44,7,20,28,11,13,28,13,15,8,17,24,6,19,24,29,38,2,-66,-64,-14
47,7,18,24,11,11,25,11,18,9,18,22,7,19,22,27,36,6,-63,-67,-13
51,8,16,22,10,9,21,7,19,9,19,19,6,18,21,26,33,9,-60,-71,-12
56,11,15,20,9,8,19,4,22,11,21,18,6,18,21,25,32,12,-56,-74,-9
59,13,14,19,7,6,16,2,25,15,25,18,8,20,23,25,32,17,-54,-75,-6
61,13,11,15,4,2,10,0,29,19,28,19,11,23,25,25,34,22,-55,-73,-4
60,12,8,11,1,-1,6,0,33,24,31,21,14,26,27,27,37,27,-56,-66,-4
60,11,7,9,0,-4,4,1,36,29,33,25,19,30,29,30,42,32,-55,-55,-4
59,10,6,6,-1,-6,2,3,38,32,34,28,22,31,29,34,45,35,-54,-43,-5
56,6,4,4,-3,-8,1,2,38,33,33,29,22,29,28,36,43,35,-53,-33,-7
53,2,3,1,-6,-10,0,-1,35,32,29,29,18,25,25,37,37,33,-53,-26,-7
51,0,3,0,-9,-11,-1,-5,31,30,25,28,14,21,23,37,29,29,-52,-19,-6
50,1,6,1,-11,-10,0,-6,28,28,22,27,12,19,21,37,25,24,-53,-8,-5
47,1,8,1,-12,-9,-1,-5,27,28,21,27,12,18,20,37,24,21,-56,6,-3
43,-1,9,-1,-14,-10,-4,-3,27,30,22,27,14,18,19,36,25,20,-62,27,-2
36,-6,7,-6,-16,-13,-10,-3,28,31,22,28,16,18,16,33,24,19,-67,53,-2
31,-10,5,-9,-17,-14,-13,-4,26,31,23,30,17,18,14,30,21,17,-70,83,-5
30,-10,6,-8,-16,-11,-11,-4,23,29,24,33,15,20,14,29,17,14,-68,113,-8
34,-4,9,-2,-15,-4,-4,-4,20,26,26,36,13,22,16,30,14,10,-63,140,-11
38,1,12,3,-14,1,2,-3,17,22,30,39,12,24,18,31,13,7,-59,161,-13
39,4,14,6,-14,5,6,-2,17,19,33,40,13,25,18,30,14,4,-56,173,-14
35,2,13,6,-15,4,5,-1,17,18,34,38,15,24,17,27,15,3,-56,174,-13
29,-3,9,1,-16,0,1,-2,19,17,34,33,16,21,13,21,17,3,-58,163,-12
24,-9,5,-4,-17,-5,-3,-3,20,15,31,28,16,18,9,15,17,3,-58,143,-9
22,-11,5,-7,-15,-7,-5,-3,19,11,29,25,15,14,6,12,17,2,-55,116,-7
27,-6,8,-5,-11,-4,-2,-2,18,5,26,23,13,12,5,12,19,0,-48,85,-4
36,3,14,0,-5,1,3,0,16,0,25,23,10,12,6,14,22,-3,-40,52,-2
45,14,20,5,0,6,10,1,16,-4,25,23,8,11,6,18,27,-6,-33,17,0
51,20,22,7,4,8,12,2,17,-5,24,22,7,10,4,21,32,-7,-30,-17,1
51,20,18,3,7,5,8,1,19,-3,22,19,6,8,0,21,35,-6,-32,-53,2
49,15,11,-4,8,-1,1,-1,23,-1,20,16,6,5,-5,19,38,-3,-37,-87,2
48,10,4,-11,10,-8,-5,-4,26,0,18,14,7,2,-10,18,40,0,-41,-116,2
52,9,2,-13,13,-11,-8,-5,31,0,19,16,10,1,-10,19,47,2,-43,-137,2
62,14,6,-9,18,-8,-5,-1,37,0,23,21,15,3,-5,22,58,5,-41,-148,1
76,23,15,0,25,0,0,5,45,2,30,27,23,7,2,26,73,8,-37,-151,0
90,31,24,7,31,7,7,14,53,4,35,32,30,12,9,29,87,11,-31,-150,0
102,36,30,12,36,14,11,22,59,7,38,33,35,15,13,29,99,15,-24,-145,-2
109,36,31,12,39,16,9,27,64,10,37,31,36,17,13,25,105,18,-17,-131,-3
112,33,27,7,42,16,5,29,66,10,33,25,33,17,11,19,108,22,-9,-94,-5
115,28,23,2,45,16,1,31,66,8,28,18,30,17,8,13,110,25,1,-13,-7
120,27,20,-1,48,18,0,33,67,4,25,13,28,17,7,8,114,27,16,129,-11
126,29,19,-2,52,21,0,37,67,0,24,8,28,18,7,3,121,28,31,343,-17
131,31,19,-2,56,24,1,41,68,-3,24,5,29,19,6,0,130,27,45,618,-27
134,31,19,-4,58,25,1,44,68,-8,23,1,29,17,4,-6,137,24,56,919,-38
133,26,17,-9,57,23,-1,43,66,-13,20,-2,27,14,0,-15,139,20,63,1193,-50
127,17,13,-15,54,17,-6,39,63,-16,15,-6,22,9,-7,-24,136,16,66,1380,-60
119,8,10,-20,49,12,-11,32,61,-17,12,-9,19,5,-12,-30,130,14,66,1431,-64
111,0,8,-22,43,8,-13,26,63,-15,11,-9,19,4,-14,-31,125,16,64,1324,-63
104,-3,8,-20,37,7,-12,20,68,-10,14,-5,23,7,-11,-26,122,21,58,1072,-57
96,-5,10,-15,32,7,-9,17,77,-2,21,1,31,12,-5,-17,122,29,50,719,-47
90,-5,12,-8,26,7,-4,15,87,4,28,8,40,17,0,-8,123,36,41,331,-37
83,-6,13,0,22,7,0,13,95,8,33,13,46,21,3,0,121,40,33,-30,-29
75,-8,13,7,18,7,5,10,98,8,35,16,46,20,3,5,117,40,27,-318,-25
69,-9,13,14,15,8,12,7,95,1,35,18,42,17,1,8,108,34,23,-513,-24
63,-9,14,21,11,10,19,2,88,-7,33,18,34,13,0,10,98,27,23,-621,-24
57,-8,15,27,7,14,26,-1,80,-18,31,18,26,8,-2,13,88,18,25,-661,-26
51,-7,15,31,3,16,30,-3,73,-25,30,18,21,5,-3,14,81,11,26,-660,-28
41,-10,14,31,-1,14,30,-5,68,-28,30,17,18,2,-5,13,76,5,25,-638,-31
29,-16,10,25,-6,7,26,-8,65,-28,30,15,17,0,-7,11,71,0,22,-607,-36
15,-25,5,17,-11,-1,18,-11,63,-26,29,13,17,-1,-10,6,66,-3,18,-574,-41
3,-32,0,9,-14,-9,11,-14,61,-24,28,10,15,-2,-14,1,60,-7,15,-540,-48
-3,-36,-2,3,-16,-13,6,-17,60,-24,27,9,12,-1,-16,-2,55,-11,14,-503,-55
